Player,Position,Age,Team,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
Jimmer Fredette,SG,24,TOT,49,519,15.8,0.578,1.7,9.7,5.7,22.2,1.4,0.5,16.9,24.3,105,110,0.5,0.3,0.8
Spencer Hawes,C,25,TOT,80,2470,15.7,0.554,5.6,24.2,14.6,15.8,0.9,3.1,15.4,19.6,105,107,2.2,2.3,4.5
Wesley Matthews,SG,27,POR,82,2780,15.7,0.588,2,9.1,5.6,10.9,1.4,0.4,8.8,19.6,118,110,6.3,1.9,8.2
Tony Allen,SG,32,MEM,55,1278,15.6,0.531,7.3,12,9.6,11.7,3.8,1.2,16.2,20.1,102,101,0.5,2.1,2.7
Brandon Jennings,PG,24,DET,80,2728,15.6,0.486,2.2,7.8,4.9,34.4,1.9,0.2,14.4,23.4,106,113,3,0.9,3.9
Enes Kanter,C,21,UTA,80,2138,15.6,0.523,11.6,20.9,16.1,6.4,0.7,1.5,13.3,23.3,102,112,1.3,0.9,2.2
Nate Robinson,PG,29,DEN,44,866,15.6,0.544,2.6,7.5,5,21.3,2,0.3,12.1,23.5,109,110,1.3,0.5,1.8
Michael Carter-Williams,PG,22,PHI,70,2414,15.5,0.48,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,96,108,-0.8,2.1,1.3
Joe Johnson,SG,32,BRK,79,2575,15.5,0.564,2.2,10.3,6.3,15,1,0.3,9.8,22.3,110,112,3.9,1,4.9
Reggie Jackson,PG,23,OKC,80,2277,15.4,0.527,2.2,12.8,7.8,23.1,1.9,0.3,14.5,22.6,105,106,2.3,2.6,4.9
Amir Johnson,PF,26,TOR,77,2214,15.4,0.592,9,17.6,13.3,8.7,1.3,3.2,15.4,16.4,112,104,3.2,3.1,6.3
Ricky Rubio,PG,23,MIN,82,2638,15.4,0.491,2.5,11.9,7.1,37.8,3.6,0.3,21.8,16.4,106,104,2.2,3.6,5.9
Tyler Zeller,C,24,CLE,70,1049,15.4,0.581,10.8,19.6,15.1,5.6,0.9,3,14.9,17.1,112,107,1.5,1.1,2.6
Jermaine O'Neal,PF,35,GSW,44,883,15.3,0.57,10.7,19.1,15,4.2,0.8,3.4,14.5,17.8,111,102,1.3,1.4,2.7
Miroslav Raduljica,C,26,MIL,48,465,15.3,0.603,12.9,13.7,13.3,8.3,0.8,2.3,15.7,17.3,117,113,1,0.1,1.1
Mike Scott,PF,25,ATL,80,1482,15.3,0.559,4.9,17.2,11.1,8.9,1,0.4,10.3,23.5,105,108,1.3,1.2,2.6
Jose Calderon,SG,32,DAL,81,2468,15.2,0.596,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,120,112,5.4,0.8,6.3
Luol Deng,SF,28,TOT,63,2213,15.2,0.517,5,13.4,9.2,14.6,1.5,0.3,10.4,22.3,106,107,2.2,2.3,4.5
Kelly Olynyk,C,22,BOS,70,1400,15.2,0.546,11,18.8,14.8,13.1,1.3,1.5,16,21,107,107,1.5,1.4,2.9
Marreese Speights,C,26,GSW,79,982,15.2,0.507,11.4,20.6,16.1,5.3,0.5,2.6,11.6,25.4,102,103,0.6,1.5,2.1
Jeff Withey,C,23,NOP,58,684,15.2,0.59,8.2,17.4,12.7,5.6,1.1,6.1,11,12,122,108,1.2,0.6,1.8
Brandon Bass,PF,28,BOS,82,2266,15,0.549,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,111,108,3.2,1.9,5.1
Marco Belinelli,SF,27,SAS,80,2016,15,0.605,1,11.2,6.3,13.2,1.3,0.3,11.2,19,114,105,3.5,2.4,5.9
Trevor Booker,PF,26,WAS,72,1553,15,0.563,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,114,104,2.3,2,4.3
Jordan Farmar,PG,27,LAL,41,912,15,0.533,2.3,9.8,6.1,34.6,2,0.6,19.6,23.2,101,112,0.4,0.4,0.7
Eric Gordon,SG,25,NOP,64,2057,14.9,0.54,1.7,7.7,4.7,16.6,1.9,0.5,12.8,23.2,105,113,2,0.5,2.5
Tristan Thompson,PF,22,CLE,82,2594,14.9,0.528,11.4,21.5,16.3,4.5,0.8,1.1,10.6,17.5,110,108,3.4,2.3,5.7
Marcus Morris,SF,24,PHO,82,1800,14.8,0.552,5.2,14.6,9.9,7.6,2,0.8,11.6,19.9,109,107,2.3,1.8,4.2
Cory Joseph,SG,22,SAS,68,936,14.7,0.558,4,8.7,6.4,17.2,1.9,1.1,12.3,16.9,115,104,1.6,1.3,2.9
Jodie Meeks,SG,26,LAL,77,2556,14.7,0.601,1.3,6.9,4.1,8.5,2.1,0.1,9.9,19.1,112,113,3.8,0.7,4.5
Lance Stephenson,SG,23,IND,78,2752,14.7,0.564,4.1,18.1,11.4,22.1,1,0.2,18,19.4,106,101,2.6,4.8,7.4
Alexis Ajinca,C,25,NOP,56,951,14.6,0.589,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,110,107,1.2,0.9,2.1
Devin Harris,PG,30,DAL,40,818,14.6,0.517,1.1,10.8,6,31,1.8,0.2,16.2,20.2,109,111,1.2,0.4,1.6
Patrick Patterson,PF,24,TOT,65,1533,14.6,0.533,8.8,17.1,12.9,8.5,1.9,1.9,11.1,17.2,109,105,1.8,2,3.8
Miles Plumlee,C,25,PHO,80,1964,14.6,0.529,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,104,104,1.2,2.8,4
Andrea Bargnani,C,28,NYK,42,1257,14.5,0.51,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,103,110,0.8,0.7,1.5
Shaun Livingston,PG,28,BRK,76,1974,14.5,0.551,4.1,10.8,7.5,20.1,2.5,1.3,15.5,16.1,111,108,2.6,1.8,4.4
Carlos Boozer,PF,32,CHI,76,2141,14.4,0.489,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,95,98,-0.9,4.3,3.4
Will Bynum,PG,31,DET,56,1054,14.4,0.502,2.4,8.2,5.1,32.5,1.9,0.5,17.6,23.8,102,112,0.6,0.4,1
Bradley Beal,SG,20,WAS,73,2530,14.3,0.507,2.4,10.2,6.3,16,1.4,0.6,9.4,24.3,103,107,1.6,2.4,4
Jordan Crawford,SG,25,TOT,81,1859,14.3,0.516,1.7,9.5,5.5,25.1,1.3,0.2,13.4,23.7,104,109,1.5,1.4,2.8
Jeremy Lin,PG,25,HOU,71,2054,14.3,0.572,2,7.8,5.1,22.3,1.6,1,18.4,20.4,109,109,2.8,1.6,4.4
Mirza Teletovic,SF,28,BRK,72,1396,14.3,0.559,5.2,17.6,11.4,7.1,1.1,1.4,8.8,20.5,108,109,1.6,1.1,2.7
Klay Thompson,SG,23,GSW,81,2868,14.3,0.555,1.5,7.9,4.7,10.2,1.3,1,9.2,22.6,108,106,3.5,3.2,6.7
Tyler Hansbrough,PF,28,TOR,64,978,14.2,0.562,14.2,20,17.1,2.7,1.5,1.6,14.5,15.1,116,104,1.7,1.4,3
Louis Williams,PG,27,ATL,60,1445,14.2,0.547,0.8,9.1,5,22.9,1.6,0.2,13.9,20.9,107,109,1.6,1,2.6
Boris Diaw,PF,31,SAS,79,1974,14.1,0.578,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17,109,104,2.3,2.6,4.9
Thomas Robinson,PF,22,POR,70,873,14.1,0.502,13.1,24.6,18.9,6,1.3,1.6,14.5,19.7,102,104,0.4,1.2,1.6
Josh Smith,SF,28,DET,77,2730,14.1,0.463,3.9,17.6,10.4,15,1.9,3.2,12.7,24.5,95,108,-1.4,2.5,1.1
Greivis Vasquez,SG-PG,27,TOT,79,1779,14.1,0.537,1.3,10,5.6,30.4,0.9,0.2,15.4,21.1,108,110,2.4,1.2,3.6
Omer Asik,C,27,HOU,48,968,14,0.57,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,109,103,1,1.5,2.4
Elton Brand,PF,34,ATL,73,1414,14,0.561,8,21.5,14.8,8.1,1.4,4.9,13.8,13.9,110,103,1.4,2.1,3.6
