Player,PA,PC,PC %,CA,CC,Team
Danilo,11,9,82%,0,0,Valencia
Salih Uçan,10,8,80%,0,0,Roma
Aleksandr Golovin,10,6,60%,0,0,CSKA Moskva
Simon Kroon,7,6,86%,0,0,Malmö
Andreas Pereira,7,5,71%,0,0,Man. United
Kenedy,6,6,100%,0,0,Chelsea
Kalifa Coulibaly,5,5,100%,0,0,Gent
Stijn Schaars,5,5,100%,0,0,PSV
Zhakyp Kozhamberdy,5,4,80%,1,0,Astana
Aleksandr Ryazantsev,4,3,75%,1,1,Zenit
Viktor Fayzulin,4,3,75%,0,0,Zenit
Mehdi Carcela-González,4,3,75%,0,0,Benfica
Nico Schulz,4,3,75%,0,0,Mönchengladbach
Vladlen Yurchenko,3,3,100%,0,0,Leverkusen
Shlomy Azulay,2,2,100%,1,1,M. Tel-Aviv
Victor Andrade,2,1,50%,1,0,Benfica
Aleksandrs Cauna,1,1,100%,0,0,CSKA Moskva
Rai Vloet,1,1,100%,0,0,PSV
Aleksei Evseev,1,1,100%,0,0,Zenit
Mario Lemina,1,0,0%,1,0,Juventus
Last updated: 26/11/2015 23:41 CET,,,,,,
,,,,,,
Legend:,,,,,,
,,,,,,
PA: Passes attempted   ,,,,,,
PC: Passes completed   ,,,,,,
PC %: Passes completion %   ,,,,,,
CA: Crosses attempted   ,,,,,,
CC: Crosses completed   ,,,,,,
